,Year,Agency Name,conviction-rate
0,2004,Alameda,0.5
1,2004,Alpine,0.0
2,2004,Amador,0.0
3,2004,Butte,0.25
4,2004,Calaveras,0.0
5,2004,Colusa,0.0
6,2004,Contra Costa,0.3333333333333333
7,2004,Del Norte,0.0
8,2004,El Dorado,1.0
9,2004,Fresno,0.4
10,2004,Glenn,1.0
11,2004,Humboldt,0.0
12,2004,Imperial,0.0
13,2004,Inyo,0.0
14,2004,Kern,0.4
15,2004,Kings,0.0
16,2004,Lake,0.0
17,2004,Lassen,0.0
18,2004,Los Angeles,0.550561797752809
19,2004,Madera,0.0
20,2004,Marin,0.0
21,2004,Mariposa,0.0
22,2004,Mendocino,1.0
23,2004,Merced,0.0
24,2004,Modoc,0.0
25,2004,Mono,0.0
26,2004,Monterey,0.3333333333333333
27,2004,Napa,0.0
28,2004,Nevada,0.0
29,2004,Orange,1.0
30,2004,Placer,0.0
31,2004,Plumas,0.0
32,2004,Riverside,0.6060606060606061
33,2004,Sacramento,0.2857142857142857
34,2004,San Benito,0.0
35,2004,San Bernardino,0.09090909090909091
36,2004,San Diego,1.0
37,2004,San Francisco,0.2857142857142857
38,2004,San Joaquin,0.0
39,2004,San Luis Obispo,0.0
40,2004,San Mateo,0.5
41,2004,Santa Barbara,0.3333333333333333
42,2004,Santa Clara,0.375
43,2004,Santa Cruz,0.0
44,2004,Shasta,0.5
45,2004,Sierra,0.0
46,2004,Siskiyou,0.0
47,2004,Solano,0.0
48,2004,Sonoma,0.0
49,2004,Stanislaus,0.0
50,2004,Sutter,0.0
51,2004,Tehama,0.0
52,2004,Trinity,0.0
53,2004,Tulare,0.0
54,2004,Tuolumne,1.0
55,2004,Ventura,0.5714285714285714
56,2004,Yolo,0.16666666666666666
57,2004,Yuba,0.0
66,2005,Alameda,0.0
67,2005,Alpine,0.0
68,2005,Amador,0.0
69,2005,Butte,0.3333333333333333
70,2005,Calaveras,0.0
71,2005,Colusa,0.0
72,2005,Contra Costa,0.1111111111111111
73,2005,Del Norte,0.0
74,2005,El Dorado,0.5
75,2005,Fresno,0.0
76,2005,Glenn,0.0
77,2005,Humboldt,0.0
78,2005,Imperial,0.0
79,2005,Inyo,0.0
80,2005,Kern,0.16666666666666666
81,2005,Kings,0.0
82,2005,Lake,0.0
83,2005,Lassen,0.0
84,2005,Los Angeles,0.3418803418803419
85,2005,Madera,0.0
86,2005,Marin,0.0
87,2005,Mariposa,0.0
88,2005,Mendocino,0.0
89,2005,Merced,1.0
90,2005,Modoc,0.0
91,2005,Mono,0.0
92,2005,Monterey,0.6666666666666666
93,2005,Napa,0.0
94,2005,Nevada,0.6666666666666666
95,2005,Orange,0.5555555555555556
96,2005,Placer,0.0
97,2005,Plumas,0.0
98,2005,Riverside,1.0
99,2005,Sacramento,0.7777777777777778
100,2005,San Benito,0.0
101,2005,San Bernardino,0.1111111111111111
102,2005,San Diego,0.8888888888888888
103,2005,San Francisco,0.4375
104,2005,San Joaquin,0.3333333333333333
105,2005,San Luis Obispo,0.0
106,2005,San Mateo,0.0
107,2005,Santa Barbara,0.0
108,2005,Santa Clara,0.6666666666666666
109,2005,Santa Cruz,1.0
110,2005,Shasta,0.0
111,2005,Sierra,0.0
112,2005,Siskiyou,0.0
113,2005,Solano,0.0
114,2005,Sonoma,0.2
115,2005,Stanislaus,1.0
116,2005,Sutter,0.0
117,2005,Tehama,0.0
118,2005,Trinity,0.0
119,2005,Tulare,0.0
120,2005,Tuolumne,3.0
121,2005,Ventura,0.5714285714285714
122,2005,Yolo,0.6666666666666666
123,2005,Yuba,0.5
132,2006,Alameda,1.25
133,2006,Alpine,0.0
134,2006,Amador,0.0
135,2006,Butte,0.25
136,2006,Calaveras,0.0
137,2006,Colusa,0.0
138,2006,Contra Costa,0.16666666666666666
139,2006,Del Norte,1.0
140,2006,El Dorado,0.0
141,2006,Fresno,0.5
142,2006,Glenn,0.0
143,2006,Humboldt,0.5
144,2006,Imperial,0.0
145,2006,Inyo,0.0
146,2006,Kern,0.0
147,2006,Kings,0.0
148,2006,Lake,0.0
149,2006,Lassen,0.0
150,2006,Los Angeles,0.6698113207547169
151,2006,Madera,0.0
152,2006,Marin,0.0
153,2006,Mariposa,0.0
154,2006,Mendocino,0.16666666666666666
155,2006,Merced,0.0
156,2006,Modoc,0.0
157,2006,Mono,0.0
158,2006,Monterey,1.0
159,2006,Napa,0.0
160,2006,Nevada,0.0
161,2006,Orange,0.7857142857142857
162,2006,Placer,0.0
163,2006,Plumas,0.0
164,2006,Riverside,0.375
165,2006,Sacramento,0.6666666666666666
166,2006,San Benito,0.0
167,2006,San Bernardino,0.0
168,2006,San Diego,0.5555555555555556
169,2006,San Francisco,0.5555555555555556
170,2006,San Joaquin,0.5
171,2006,San Luis Obispo,0.16666666666666666
172,2006,San Mateo,0.0
173,2006,Santa Barbara,0.0
174,2006,Santa Clara,0.45454545454545453
175,2006,Santa Cruz,0.6666666666666666
176,2006,Shasta,0.3076923076923077
177,2006,Sierra,0.0
178,2006,Siskiyou,0.0
179,2006,Solano,0.0
180,2006,Sonoma,0.8
181,2006,Stanislaus,0.0
182,2006,Sutter,0.0
183,2006,Tehama,0.0
184,2006,Trinity,0.0
185,2006,Tulare,0.0
186,2006,Tuolumne,0.0
187,2006,Ventura,0.5454545454545454
188,2006,Yolo,0.5
189,2006,Yuba,0.2
198,2007,Alameda,0.0
199,2007,Alpine,0.0
200,2007,Amador,1.0
201,2007,Butte,0.0
202,2007,Calaveras,0.0
